K,n,max_support,avg_row_support,s_eff,rate,rep,predictor,loss
100,500,2,1.44,52.05862499999999,0.9912178238741882,12,add-half,1.8262456452992244
100,500,2,1.44,52.05862499999999,0.9912178238741882,12,adaptive,0.10425002137379911
100,500,2,1.44,52.05862499999999,0.9912178238741882,12,cesaro,0.48005234893892457
100,500,2,1.44,52.05862499999999,0.9912178238741882,12,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,13,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,13,add-one,1.2636920390275583
100,500,2,1.44,52.05862499999999,0.9912178238741882,13,add-half,0.8266785731844679
100,500,2,1.44,52.05862499999999,0.9912178238741882,13,adaptive,0.02571236312848912
100,500,2,1.44,52.05862499999999,0.9912178238741882,13,cesaro,0.10023484085846902
100,500,2,1.44,52.05862499999999,0.9912178238741882,13,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,14,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,14,add-one,1.7047480922384253
100,500,2,1.44,52.05862499999999,0.9912178238741882,14,add-half,1.1946269419076982
100,500,2,1.44,52.05862499999999,0.9912178238741882,14,adaptive,0.04604393850140673
100,500,2,1.44,52.05862499999999,0.9912178238741882,14,cesaro,0.12795612672007994
100,500,2,1.44,52.05862499999999,0.9912178238741882,14,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,15,MLE,9.800160682971182e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,15,add-one,2.2155737160044158
100,500,2,1.44,52.05862499999999,0.9912178238741882,15,add-half,1.6964492894237302
100,500,2,1.44,52.05862499999999,0.9912178238741882,15,adaptive,0.17832953552441733
100,500,2,1.44,52.05862499999999,0.9912178238741882,15,cesaro,0.45654114545670865
100,500,2,1.44,52.05862499999999,0.9912178238741882,15,support-oracle,0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,16,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,16,add-one,1.4847344339331432
100,500,2,1.44,52.05862499999999,0.9912178238741882,16,add-half,1.006804739414987
100,500,2,1.44,52.05862499999999,0.9912178238741882,16,adaptive,0.03473424071445681
